Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
dog-stand,64.0,0.000168,5,0.000238,0.000119,7,3,0,0,0
dog-stand,128.0,0.000143,3,0.000202,0.000101,4,2,0,0,0
dog-stand,256.0,0.000121,1,0.000171,8.54e-05,2,1,0,0,0
finger-spin,0.25,0.00113,632,0.0016,0.000799,894,447,640,896,448
finger-spin,0.5,0.000968,546,0.00137,0.000684,773,386,544,768,384
finger-spin,1.0,0.000829,472,0.00117,0.000587,668,334,480,672,336
finger-spin,2.0,0.000711,408,0.00101,0.000503,577,288,416,576,288
finger-spin,4.0,0.000609,353,0.000861,0.000431,499,249,352,496,256
finger-spin,8.0,0.000522,305,0.000738,0.000369,431,215,304,432,208
finger-spin,16.0,0.000447,264,0.000633,0.000316,373,186,256,368,192
finger-spin,32.0,0.000383,228,0.000542,0.000271,322,161,224,320,160
finger-spin,64.0,0.000328,197,0.000465,0.000232,279,139,192,272,144
finger-spin,128.0,0.000282,170,0.000398,0.000199,241,120,176,240,128
finger-spin,256.0,0.000241,147,0.000341,0.000171,208,104,144,208,96
humanoid-stand,0.25,0.00134,1000,0.0019,0.000948,1414,707,992,1408,704
humanoid-stand,0.5,0.000903,697,0.00128,0.000638,987,493,704,992,496
humanoid-stand,1.0,0.000608,486,0.00086,0.00043,688,344,480,688,352
humanoid-stand,2.0,0.000409,339,0.000579,0.00029,480,240,336,480,240
humanoid-stand,4.0,0.000276,236,0.00039,0.000195,335,167,240,336,160
humanoid-stand,8.0,0.000186,165,0.000263,0.000131,233,116,160,240,112
humanoid-stand,16.0,0.000125,115,0.000177,8.84e-05,163,81,112,160,80
humanoid-stand,32.0,8.42e-05,80,0.000119,5.96e-05,113,56,80,112,64
humanoid-stand,64.0,5.67e-05,56,8.02e-05,4.01e-05,79,39,64,80,32
humanoid-stand,128.0,3.82e-05,39,5.4e-05,2.7e-05,55,27,32,48,32
humanoid-stand,256.0,2.57e-05,27,3.64e-05,1.82e-05,38,19,32,32,16
quadruped-walk,0.25,0.00148,603,0.00209,0.00105,853,426,608,848,432
quadruped-walk,0.5,0.00117,512,0.00165,0.000826,724,362,512,720,368
quadruped-walk,1.0,0.000924,434,0.00131,0.000653,614,307,432,608,304
quadruped-walk,2.0,0.00073,368,0.00103,0.000516,521,260,368,528,256
quadruped-walk,4.0,0.000577,312,0.000816,0.000408,442,221,320,448,224
quadruped-walk,8.0,0.000456,265,0.000645,0.000323,374,187,272,368,192
quadruped-walk,16.0,0.000361,224,0.00051,0.000255,318,159,224,320,160
quadruped-walk,32.0,0.000285,190,0.000403,0.000202,269,134,192,272,128
quadruped-walk,64.0,0.000225,161,0.000319,0.000159,228,114,160,224,112
quadruped-walk,128.0,0.000178,137,0.000252,0.000126,194,97,144,192,96
quadruped-walk,256.0,0.000141,116,0.000199,9.95e-05,164,82,112,160,80
walker-walk,0.25,0.00113,1486,0.00159,0.000797,2101,1050,1488,2096,1056
walker-walk,0.5,0.00101,802,0.00143,0.000715,1134,567,800,1136,560
walker-walk,1.0,0.000908,433,0.00128,0.000642,612,306,432,608,304
walker-walk,2.0,0.000815,233,0.00115,0.000576,330,165,240,336,160
walker-walk,4.0,0.000731,126,0.00103,0.000517,178,89,128,176,96
walker-walk,8.0,0.000656,68,0.000928,0.000464,96,48,64,96,48
walker-walk,16.0,0.000589,36,0.000833,0.000416,51,25,32,48,32
walker-walk,32.0,0.000529,19,0.000747,0.000374,28,14,16,32,16
walker-walk,64.0,0.000474,10,0.000671,0.000335,15,7,16,16,0
walker-walk,128.0,0.000426,5,0.000602,0.000301,8,4,0,0,0
walker-walk,256.0,0.000382,3,0.00054,0.00027,4,2,0,0,0
